reference_id,school,division,conference,city,state,coaching_staff_url,camp_url,recruiting_questionnaire_url,program_x_url,source_url,snapshot_date,logo_url,distance_miles
university-of-dubuque-iowa-d3,University of Dubuque,D3,ARC,Dubuque,Iowa,https://udspartans.com/sports/football/coaches,https://udspartans.com/sports/2022/1/28/upcoming-ud-spartans-camps.aspx,https://www.fieldlevel.com/dbq/football/recruiting,https://x.com/dubuquefootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/49.png,597
university-of-findlay-ohio-d2,University of Findlay,D2,GMAC,Findlay,Ohio,https://findlayoilers.com/sports/football/roster#sidearm-roster-coaches,https://findlayfootballcamps.totalcamps.com/About%20Us,https://www.fieldlevel.com/findlay/football/recruiting,https://x.com/ufoilersfb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2224.png,835
university-of-indianapolis-indiana-d2,University of Indianapolis,D2,GLVC,Indianapolis,Indiana,https://athletics.uindy.edu/sports/football/coaches,https://uindycamps.com/,https://questionnaires.armssoftware.com/571c394ab65d?path=football,https://x.com/uindyfb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2292.png,680
university-of-jamestown-north-dakota-naia,University of Jamestown,NAIA,Great Plains Athletic Conference,Jamestown,North Dakota,https://jimmiepride.com/sports/football/roster#sidearm-roster-coaches,https://jimmiepride.com/sports/football,https://jimmiepride.com/sports/2024/11/8/recruit-me.aspx,https://x.com/jimmiefootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,780
university-of-la-verne-california-d3,University of La Verne,D3,SCIAC,La Verne,California,https://leopardathletics.com/sports/football/coaches,https://leopardathletics.com/sports/2025/5/13/football-camps.aspx,https://questionnaires.armssoftware.com/95b07506f5b7,https://x.com/ulv_football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2318.png,1153
university-of-mary-north-dakota-d2,University of Mary,D2,NSIC,Bismarck,North Dakota,https://goumary.com/sports/football/coaches,https://www.maraudersfootballcamps.com/,https://www.fieldlevel.com/umary/football/recruiting,https://x.com/UMaryFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/559.png,789
university-of-mary-hardin-baylor-texas-d3,University of Mary Hardin-Baylor,D3,ASC,Belton,Texas,https://cruathletics.com/sports/football/coaches,https://cruathletics.com/sports/camps/schedule,https://www.fieldlevel.com/umhb/football/recruiting,https://x.com/CruFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2371.png,318
university-of-massachusetts-dartmouth-massachusetts-d3,University of Massachusetts - Dartmouth,D3,MASCAC,North Dartmouth,Massachusetts,https://corsairathletics.com/staff-directory/football-department/7,https://corsairathletics.com/sports/football?path=football,https://questionnaires.armssoftware.com/03ad0636b738?path=football,https://x.com/corsairfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,1482
university-of-minnesota-duluth-minnesota-d2,University of Minnesota - Duluth,D2,NSIC,Duluth,Minnesota,https://umdbulldogs.com/sports/football/coaches,https://umdbulldogsportcamps.com/,https://www.fieldlevel.com/umn-duluth/football/recruiting,https://x.com/UMD_Football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/134.png,818
university-of-minnesota-morris-minnesota-d3,University of Minnesota - Morris,D3,UMAC,Morris,Minnesota,https://morriscougars.com/sports/football/coaches,https://morriscougars.com/sports/2020/1/6/camps-clinics.aspx?path=general#Football,https://morriscougars.com/sports/2010/4/2/FB_questionnaire.aspx,https://x.com/ummfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2399.png,691
